episode,epsilon,wins,losses,draws,win_rate
500,0.953,256,243,1,0.5120
1000,0.905,301,198,1,0.6020
1500,0.858,341,157,2,0.6820
2000,0.810,373,127,0,0.7460
2500,0.762,394,105,1,0.7880
3000,0.715,411,85,4,0.8220
3500,0.667,400,99,1,0.8000
4000,0.620,438,61,1,0.8760
4500,0.573,433,66,1,0.8660
5000,0.525,448,46,6,0.8960
5500,0.478,452,46,2,0.9040
6000,0.430,456,44,0,0.9120
6500,0.383,461,37,2,0.9220
7000,0.335,458,40,2,0.9160
7500,0.288,485,15,0,0.9700
8000,0.240,472,25,3,0.9440
8500,0.193,474,26,0,0.9480
9000,0.145,466,30,4,0.9320
9500,0.098,463,36,1,0.9260
10000,0.050,477,16,7,0.9540
