episode,epsilon,wins,losses,draws,win_rate
500,0.953,257,243,0,0.5140
1000,0.905,289,207,4,0.5780
1500,0.858,318,180,2,0.6360
2000,0.810,367,131,2,0.7340
2500,0.762,390,109,1,0.7800
3000,0.715,396,101,3,0.7920
3500,0.667,399,98,3,0.7980
4000,0.620,422,77,1,0.8440
4500,0.573,428,70,2,0.8560
5000,0.525,440,58,2,0.8800
5500,0.478,454,46,0,0.9080
6000,0.430,468,30,2,0.9360
6500,0.383,472,28,0,0.9440
7000,0.335,475,23,2,0.9500
7500,0.288,473,25,2,0.9460
8000,0.240,470,24,6,0.9400
8500,0.193,464,33,3,0.9280
9000,0.145,462,35,3,0.9240
9500,0.098,478,20,2,0.9560
10000,0.050,469,28,3,0.9380
